discount_rate,link,o_price,s_price,title
50.0%,http://item.gmarket.co.kr/Item?goodscode=2085996432&ver=637553198596763610,44000,22000,추억의 국민학교 떡볶이 오리지널 4+4 행사/ 한정수량 
33.33%,http://item.gmarket.co.kr/Item?goodscode=1620708830&ver=637553198596763610,26850,17900,토마토 5kg(5번과)/소과/쿠폰가 13860 
37.41%,http://item.gmarket.co.kr/Item?goodscode=2091056817&ver=637553198596763610,27000,16900,크리넥스 마이비데 46매X8입(1BOX)+용기증정 
69.7%,http://item.gmarket.co.kr/Item?goodscode=1267464808&ver=637553198596763610,66000,20000,22% 추가할인 GUESS 여름신상 대전 
50.0%,http://item.gmarket.co.kr/Item?goodscode=1140168037&ver=637553198596763610,21000,10500,볼록맞춤 슈퍼롱 오버나이트/생리대 10Px5팩+무표백4P 
32.0%,http://item.gmarket.co.kr/Item?goodscode=2009440286&ver=637553198596763610,29000,19720,갤러리아  반팔3장SET KHG5300 
55.09%,http://item.gmarket.co.kr/Item?goodscode=2037174659&ver=637553198596763610,26500,11900,한성 생선까스 1.2kg(20조각) 
30.17%,http://item.gmarket.co.kr/Item?goodscode=1568219038&ver=637553198596763610,24200,16900,매일 헬로엔요 플레인 200ml 48팩 
69.62%,http://item.gmarket.co.kr/Item?goodscode=904203900&ver=637553198596763610,26000,7900,카네이션디퓨저/어버이날선물/플라워용돈박스/선물 
33.33%,http://item.gmarket.co.kr/Item?goodscode=2083168976&ver=637553198596763610,25350,16900,산지직송 당도보장 성주 참외 5kg(랜덤과)/쿠폰가13090 
