count,star,title
"31,400명",9.47,비와 당신의 이야기
0명,9.44,라야와 마지막 드래곤
0명,9.31,소울
0명,8.92,플로리다 프로젝트
0명,,베르나르다 알바
0명,8.75,스파이의 아내
0명,9.51,피아니스트
0명,8.50,스프링 송
0명,8.38,인천스텔라
0명,8.23,더 랍스터
0명,9.11,"조제, 호랑이 그리고 물고기들"
0명,8.52,패터슨
0명,9.65,패왕별희 디 오리지널
0명,7.57,파이터
0명,8.21,비밀의 정원
0명,9.80,"사랑하고 사랑받고, 차고 차이고"
0명,8.33,해길랍
0명,8.90,우리집
0명,9.33,미스 사이공: 25주년 특별 공연
0명,9.21,우리들
0명,8.77,테넷
0명,7.29,맹크
0명,8.43,스틸 앨리스
0명,8.33,아티스트
0명,7.60,미드나이트 스카이
0명,9.01,리틀 포레스트
0명,9.38,해피 투게더
0명,,하녀
0명,8.15,킹 오브 프리즘-샤이니 세븐 스타즈-ⅱ카케루x조지x미나토
0명,8.67,폴라로이드 작동법
0명,9.80,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅳ 루이x신x언노운
0명,10.0,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-
0명,9.83,킹 오브 프리즘 프라이드 더 히어로
0명,9.75,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오x유우x알렉
0명,9.91,킹 오브 프리즘 -샤이니 세븐 스타즈-
0명,9.72,킹 오브 프리즘
0명,7.19,최면
0명,8.57,재꽃
0명,8.48,최악의 하루
0명,8.25,우묵배미의 사랑
0명,9.41,와와의 학교 가는 날
0명,8.91,아틱
0명,7.67,엠마
0명,9.00,시 읽는 시간
0명,8.90,아무도 모른다
0명,,사랑하는 시바여 돌아오라
0명,,바이올린 플레이어
0명,8.15,불한당: 나쁜 놈들의 세상
0명,8.87,문라이즈 킹덤
0명,9.24,러브 액츄얼리
0명,5.72,레이니 데이 인 뉴욕
0명,8.67,달콤한 인생
0명,8.32,더 테이블
0명,8.23,너와 파도를 탈 수 있다면
0명,9.26,다시 태어나도 우리
0명,,내가 마지막 본 파리
0명,8.25,너는 여기에 없었다
0명,8.66,태풍이 지나가고
0명,9.14,찬실이는 복도 많지
0명,7.83,프라미싱 영 우먼
0명,8.70,장수상회
0명,8.05,카페 소사이어티
0명,,어처구니 없는
0명,9.82,부활: 그 증거
0명,,시저는 죽어야 한다
0명,,부기
0명,8.82,바닷마을 다이어리
0명,9.17,그것만이 내 세상
0명,,보더라인
0명,9.04,룸
0명,9.10,이별의 아침에 약속의 꽃을 장식하자
0명,9.29,겁쟁이 페달: 리로드
0명,9.27,겁쟁이 페달: 리라이드
0명,9.48,옷코는 초등학생 사장님!
0명,9.26,새벽을 알리는 루의 노래
0명,9.07,겁쟁이 페달: 더 무비
0명,9.75,부활
0명,8.00,피넛 버터 팔콘
0명,9.07,진짜로 일어날지도 몰라 기적
0명,8.40,날씨의 아이
0명,,미국대전쟁
0명,8.70,그녀
0명,8.44,죽여주는 여자
0명,,코스믹 씬
0명,9.17,화양연화
0명,9.78,더스트맨
0명,,억남
0명,8.00,실버라이닝 플레이북
0명,9.68,극장판 바이올렛 에버가든
0명,8.62,동사서독 리덕스
0명,8.50,멜랑콜리아
0명,8.63,더 박스
0명,8.95,고질라 VS. 콩
0명,10.0,나소흑전기: 첫만남편
0명,9.44,레옹
0명,8.32,라스트 레터
0명,8.13,아무도 없는 곳
0명,8.92,정말 먼 곳
0명,8.07,팅커 테일러 솔저 스파이
0명,8.46,타인의 친절
0명,9.27,중경삼림
0명,9.60,당신의 사월
0명,7.67,레 미제라블
0명,9.11,플립
0명,,적호서생
0명,8.97,바그다드 카페 : 디렉터스컷
0명,,마크맨
0명,7.88,유다 그리고 블랙 메시아
0명,,"무순, 세상을 가로질러"
0명,8.26,노바디 
0명,9.14,"그 시절, 우리가 좋아했던 소녀"
0명,,섀도우 클라우드
0명,9.21,소년시절의 너
0명,9.17,바람과 함께 사라지다
0명,,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발
0명,9.11,자산어보
"29,539명",7.86,어른들은 몰라요
0명,,"좋은 빛, 좋은 공기"
0명,8.59,더 파더
"180,297명",9.21,내일의 기억
"356,153명",8.38,서복
"1,842,973명",9.62,극장판 귀멸의 칼날: 무한열차편
0명,9.26,명탐정 코난: 비색의 탄환
"36,550명",8.53,노매드랜드
"965,067명",8.32,미나리
"28,276명",9.54,더 스파이
